Location,District,Latitude,Longitude,
Kotewall Road Fresh Water Service Reservoir SR Tap,west point,22.2813,114.1391,"22.2813,114.1391"
Mount Davis Fresh Water Primary Service Reservoir SR Tap,kennedy town,22.274,114.1234,"22.274,114.1234"
Eastern Fresh Water Service Reservoir Sampling Tap,happy valley,22.2812,114.1915,"22.2812,114.1915"
Eastern No.2 Fresh Water Service Reservoir Sampling Tap,happy valley,22.2789,114.1901,"22.2789,114.1901"
Victoria Road Fresh Water Service Reservoir Sampling tap,pok fu lam,22.2751,114.1516,"22.2751,114.1516"
Lai Chi Kok FW SR(East) Sampling Tap,ha kwai chung,22.3424,114.1458,"22.3424,114.1458"
Lai King Headland Fresh Water Service Reservoir Tap,ha kwai chung,22.3411,114.1265,"22.3411,114.1265"
Kwai Chung North Fresh Water Service Reservoir Sampling Tap,sheung kwai chung,22.3568,114.137,"22.3568,114.137"
Lai Chi Kok FW SR (West) Sampling Tap,ha kwai chung,22.3424,114.1458,"22.3424,114.1458"
Tsing Yi North Low Level Fresh Water Service Reservoir tap,tsing yi,22.3615,114.1032,"22.3615,114.1032"
Tsing Yi East No.2 Fresh Water Service Reservoir tap at base,tsing yi,22.3477,114.1054,"22.3477,114.1054"
Jardine''s Lookout FW SR Sampling tap,the peak,22.2683,114.1924,"22.2683,114.1924"
Tai Tam Reservoir Road Fresh Water Service Reservoir Tap,the peak,22.26,114.21,"22.26,114.21"
Jardine''s Lookout No.2 Fresh Water Service Reservoir Tap,the peak,22.2745,114.1668,"22.2745,114.1668"
Shouson Hill Fresh Water Service Reservoir Sampling tap at,wong chuk hang,22.2478,114.1834,"22.2478,114.1834"
Shek O North Fresh Water Service Reservoir Sampling tap,shek o,22.2345,114.2501,"22.2345,114.2501"
Yau Kom Tau Fresh Water Primary Service Reservoir,tsuen wan west,22.3725,114.1018,"22.3725,114.1018"
Yau Kom Tau No.2 Fresh Water Primary Service Reservoir tap,tsuen wan west,22.3741,114.0987,"22.3741,114.0987"
Tsing Yi East Fresh Water Service Reservoir tap at corner,tsing yi,22.3512,114.1105,"22.3512,114.1105"
