case_id,lat,lon,location_desc,report_date
0001,22.4975,114.1561,Queen's Hill Estate - Wong Tai House,2025-05-30
0002,22.4972,114.1565,Queen's Hill Estate - Shan Tai House,2025-05-30
0003,22.4978,114.1558,Queen's Hill Estate - Hin Tai House,2025-05-31
0004,22.4980,114.1570,Queen's Hill Estate - Shopping Centre,2025-05-31
0005,22.4932,114.1555,Shan Lai Court - Mount Lai House,2025-06-03
0006,22.4935,114.1552,Shan Lai Court - Chung Lai House,2025-06-03
0007,22.4930,114.1559,Shan Lai Court - Ying Lai House,2025-06-04
0008,22.5011,114.1611,Ping Che Road (Upstream Water Main Source),2025-06-17
0009,22.2855,114.2178,Taikoo Shing (Bitumen Incident),2025-07-10
0010,22.2825,114.2255,Sai Wan Ho Private Estate (Black Particles),2025-07-12
0011,22.2638,114.2341,Chai Wan Road (Drainage Blackspot),2025-07-29
0012,22.3421,114.2045,Kam Chun Court (Ma On Shan Supply Issue),2025-09-19
0013,22.3193,114.1694,Mong Kok (AC Dripping Blackspot),2025-07-24
0014,22.2471,114.1832,Deep Water Bay (Beach Quality Grading),2026-01-02
0015,22.3015,114.1702,Tsim Sha Tsui (Water Main Maintenance),2026-01-10
0016,22.3712,114.1141,Tsuen Wan Waterfront (Industrial Trace),2026-01-14
0017,22.4455,114.0221,Yuen Long Nullah (Sediment Report),2026-01-15
0018,22.2811,114.1281,Kennedy Town (Sewage Leakage),2026-01-16
0019,22.3211,114.2589,Tseung Kwan O (Water Turbidity),2026-01-17
0020,22.3961,113.9721,Tuen Mun River (Odour Blackspot),2026-01-18
0021,22.4985,114.1565,Queen's Hill Estate - Lung Tai House,2026-01-19
0022,22.4988,114.1568,Queen's Hill Estate - Ching Tai House,2026-01-19
0023,22.4991,114.1572,Queen's Hill Estate - Yuk Tai House,2026-01-19
0024,22.4938,114.1550,Shan Lai Court - Wing Lai House,2026-01-19
0025,22.4934,114.1548,Shan Lai Court - Kiu Lai House,2026-01-19
0026,22.3367,114.1755,Kowloon Tong (Supply Pipe Inspection),2026-01-20
0027,22.2844,114.1501,Sheung Wan (Salt Water Pipe Burst),2026-01-20
0028,22.3155,114.2211,Kwun Tong (Drainage Blockage),2026-01-20
0029,22.3655,114.1322,Kwai Chung (Chemical Runoff),2026-01-20
0030,22.2755,114.1711,Wan Chai (Construction Site Waste),2026-01-20
0031,22.2988,114.1855,North Point (Sewerage Smell),2026-01-20
0032,22.3311,114.1522,Sham Shui Po (Backlane Drainage),2026-01-20
0033,22.4422,114.0411,Tin Shui Wai (Ponding Incident),2026-01-20
0034,22.2411,114.2155,Shek O (Floating Refuse),2026-01-20
0035,22.4655,114.2111,Sha Tau Kok (Coastal Pollution),2026-01-20
0036,22.2711,114.1955,Happy Valley (Stormwater Channel),2026-01-20
0037,22.3855,114.2011,Fo Tan (Industrial Discharge),2026-01-20
0038,22.3522,114.1011,Tsing Yi (Oil Film Observation),2026-01-20
0039,22.2011,114.0255,Cheung Chau (Septic Tank Leak),2026-01-20
0040,22.3055,114.2511,LOHAS Park (Valve Maintenance),2026-01-20
0041,22.3255,114.1811,To Kwa Wan (Main Repair),2026-01-20
0042,22.3411,114.1955,Wong Tai Sin (Gully Overflow),2026-01-20
0043,22.2855,114.1355,Sai Ying Pun (Seawater Seepage),2026-01-20
0044,22.3111,114.1611,Jordan (Drainage Maintenance),2026-01-20
0045,22.4255,114.2511,Wu Kai Sha (Water Discoloration),2026-01-20
0046,22.2455,114.1555,Aberdeen (Harbor Marine Litter),2026-01-20
0047,22.3755,114.1755,Tai Wai (Shing Mun River Foam),2026-01-20
0048,22.4355,114.1211,Lam Tsuen River (Turbid Runoff),2026-01-20
0049,22.2155,113.9311,Pui O (Beach Siltation),2026-01-20
0050,22.2911,113.9111,Tung Chung (Creek Pollution),2026-01-20
0051,22.3011,114.2311,Yau Tong (Industrial Effluent),2026-01-20
0052,22.3555,114.2111,Choi Hung (Underground Pipe Leak),2026-01-20
0053,22.2788,114.2255,Shau Kei Wan (Sewerage Blockage),2026-01-20
0054,22.3355,114.1411,Lai Chi Kok (Surface Runoff),2026-01-20
0055,22.4055,113.9855,Gold Coast (Algae Monitoring),2026-01-20
0056,22.2822,114.1555,Central Pier (Floating Debris),2026-01-20
0057,22.3155,114.1711,Yau Ma Tei (Market Drainage),2026-01-20
0058,22.3611,114.1211,Kwai Fong (Greywater Trace),2026-01-20
0059,22.4511,114.1455,Tai Po Old Market (Pipe Corrosion),2026-01-20
0060,22.5111,114.1311,Lo Wu (Riverbed Silt),2026-01-20
0061,22.2855,114.2155,Quarry Bay (Stormwater Maintenance),2026-01-20
0062,22.2511,114.1255,Pok Fu Lam (Stream Quality),2026-01-20
0063,22.3211,114.2111,Ngau Tau Kok (Water Meter Leak),2026-01-20
0064,22.3455,114.2211,Sau Mau Ping (Catchpit Blockage),2026-01-20
0065,22.3011,114.0111,Discovery Bay (Shoreline Refuse),2026-01-20
0066,22.2711,114.1611,Admiralty (Hydrant Flushing),2026-01-20
0067,22.4211,114.0311,Yuen Long West (Manhole Smell),2026-01-20
0068,22.3311,114.1911,San Po Kong (Oily Discharge),2026-01-20
0069,22.2611,114.1811,Wong Chuk Hang (Nutrient Loading),2026-01-20
0070,22.2911,114.2011,Fortress Hill (Street Washing Runoff),2026-01-20
0071,22.3155,114.2311,Lam Tin (Internal Tank Issue),2026-01-20
0072,22.3711,114.1811,Shatin Central (Shing Mun Litter),2026-01-20
0073,22.4711,114.1411,Fanling North (Farmland Runoff),2026-01-20
0074,22.1911,114.1111,Lamma Island (Sewage Outfall),2026-01-20
0075,22.2811,114.2711,Chai Wan East (Canal Siltation),2026-01-20
0076,22.2355,114.2255,Stanley (Main Beach Debris),2026-01-20
0077,22.3511,114.1511,Airport South (Oil Interceptor),2026-01-20
0078,22.3911,113.9611,Butterfly Beach (Suspended Solids),2026-01-20
0079,22.4411,114.0111,Long Ping (Pipe Maintenance),2026-01-20
0080,22.3111,114.1955,Kowloon City (Old Supply Line),2026-01-20
0081,22.2855,114.1455,Mid-Levels (Drainage Inspection),2026-01-20
0082,22.3655,114.1111,Tsing Yi North (Coastal Trace),2026-01-20
0083,22.4111,114.2211,Heng On (Tolo Harbour Odour),2026-01-20
0084,22.2511,113.9111,Ngong Ping (Catchment Silt),2026-01-20
0085,22.2955,114.2355,Heng Fa Chuen (Water Logging),2026-01-20
0086,22.3355,114.1611,Cheung Sha Wan (Industrial Sump),2026-01-20
0087,22.2711,114.1855,Causeway Bay (Typhoon Shelter),2026-01-20
0088,22.4555,114.1711,Ting Kok (Mangrove Protection),2026-01-20
0089,22.3255,114.2555,Po Lam (Underground Leak),2026-01-20
0090,22.2211,114.1211,Ap Lei Chau (Harbor Oil Sheen),2026-01-20
